,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,T,Weight,Mstar,Part Factor
0,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.9186392195951103,239.1524658203125,101.04982348750755,1.2588461951771683
1,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.9101400428717484,244.7774658203125,103.36933364550103,1.2405757020462778
2,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.9217852879555621,245.5274658203125,97.15819744371208,1.2784926672932475
3,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.906689649028994,250.4024658203125,101.26563743720982,1.2463543020165027
4,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.8751360075719852,256.0274658203125,102.12122879460614,1.2547207035550516
5,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.8664092908640993,261.6524658203125,104.82864488163673,1.2331326191896381
6,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.915744741550466,229.7149658203125,95.29902495100929,1.280158102937286
7,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.9063450965787215,235.3399658203125,97.31958795568352,1.265077495878638
8,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8884208680778903,241.7149658203125,97.32641581950894,1.2733701969862632
9,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.8820501806287375,248.0899658203125,98.50762246127147,1.264835743828414
10,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.8574814965480738,246.5899658203125,96.19760584283054,1.277559554457922
11,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.8478026027095092,252.2149658203125,98.67235307653436,1.2586439900443214
12,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.8282553067575369,258.5899658203125,98.85531955677646,1.2671112392898431
13,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.8219556084036358,264.9649658203125,100.37876579937496,1.2556094028977531
14,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.8126426979160465,263.4649658203125,96.83531140568302,1.2761622711297291
15,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.802568629113176,269.0899658203125,99.7465057873211,1.253607078325665
16,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7814624452741111,275.4649658203125,100.12201277058968,1.2620362104834464
17,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.7751139938973249,281.8399658203125,101.98188464903474,1.2476218201935674
18,0.3,0.35,0.25,0.55,0.3,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.9359538349727199,238.99709203125002,100.68517560011635,1.271568453993068
19,0.3,0.35,0.25,0.55,0.3,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.9208197527869978,243.87209203125002,105.0995388685221,1.236790743567737
20,0.3,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.3,0.3,0.3,0.5,0.9395860024403592,255.89633499999997,103.16611558213614,1.250681605004749
21,0.3,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.9287764666342037,260.77133499999997,106.37629207543738,1.2250762674238818
22,0.3,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.3,0.3,0.3,0.55,0.9052505036689391,276.146335,104.16311312851283,1.2462624055141562
23,0.3,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.8945203136664813,281.021335,107.62960930810415,1.2184479768928413
24,0.3,0.35,0.3,0.6,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.6,0.9216559628308373,291.52133499999997,103.25894419392448,1.2387531500835882
25,0.3,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.3,0.3,0.3,0.6,0.8801569691773611,296.39633499999997,104.95063865371841,1.2426640933291002
26,0.3,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.8694857226639224,301.27133499999997,108.6192457280995,1.2131178643230585
27,0.3,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.9339968848111724,227.9103490625,99.48482254207201,1.258114372895079
28,0.3,0.39999999999999997,0.25,0.45,0.3,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.9237453439284764,222.30959203125,97.85660434531295,1.2775526633270016
