Element,Bay,Storey,Position,b,h,coverPos,coverNeg,Ptotal,MyPos,MyNeg,asl,Ash,spacing,db,c,D,Res,Length,ro_long_pos,ro_long_neg
Beam,1,1,External,0.25,0.45,0.03,0.03,-3.910802239021939,98.12018909503371,50.3464747952957,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.005926983886006638,0.002964086950273754
Beam,2,1,Internal,0.25,0.45,0.03,0.03,-2.2559120530739274,93.95683363897687,44.213506698732125,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.005695433516303352,0.002597377116633683
Beam,1,2,External,0.25,0.45,0.03,0.03,6.128042988812073,80.99128346914928,44.22920533133511,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.00487766732645323,0.0025977803682571085
Beam,2,2,Internal,0.25,0.45,0.03,0.03,2.1325283310221006,77.60980265657071,44.233318016508946,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.004689335011073933,0.0025978839411839876
Beam,1,3,External,0.25,0.45,0.03,0.03,10.567964310269154,45.7216122522599,44.2955076269754,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.0026806523649353887,0.002599339005647632
Beam,2,3,Internal,0.25,0.45,0.03,0.03,3.1869120508263915,44.49614597497653,44.29891954181755,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.002602277031698328,0.0025994124915080428
Column,1,1,External,0.35,0.35,0.03,0.03,115.09588394972596,152.59500475624137,152.59500475624137,0,0.00020106192982974675,0.1,20,1,1,0.0,3.5,0.025419074340257492,0.025419074340257492
Column,2,1,Internal,0.39999999999999997,0.39999999999999997,0.03,0.03,160.74247081497143,320.45741998709747,320.45741998709747,0,0.00020106192982974675,0.1,20,1,1,0.0,3.5,0.03457498031001204,0.03457498031001204
Column,1,2,External,0.3,0.3,0.03,0.03,66.97435623519452,116.10104417215442,116.10104417215442,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.03132095337717603,0.03132095337717603
Column,2,2,Internal,0.35,0.35,0.03,0.03,104.78638458066104,247.30590212185652,247.30590212185652,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.039504905118213314,0.039504905118213314
Column,1,3,External,0.25,0.25,0.03,0.03,25.519095991138045,59.43809592793787,59.43809592793787,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.02922976173626136,0.02922976173626136
Column,2,3,Internal,0.3,0.3,0.03,0.03,48.516230824588945,116.38988936183807,116.38988936183807,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.030869862215453268,0.030869862215453268
Column,3,1,Internal,0.39999999999999997,0.39999999999999997,0.03,0.03,160.74247081497143,320.45741998709747,320.45741998709747,0,0.00020106192982974675,0.1,20,1,1,0.0,3.5,0.03457498031001204,0.03457498031001204
Column,3,2,Internal,0.35,0.35,0.03,0.03,104.78638458066104,247.30590212185652,247.30590212185652,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.039504905118213314,0.039504905118213314
Column,3,3,Internal,0.3,0.3,0.03,0.03,48.516230824588945,116.38988936183807,116.38988936183807,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.030869862215453268,0.030869862215453268
Column,4,1,External,0.35,0.35,0.03,0.03,115.09588394972596,152.59500475624137,152.59500475624137,0,0.00020106192982974675,0.1,20,1,1,0.0,3.5,0.025419074340257492,0.025419074340257492
Column,4,2,External,0.3,0.3,0.03,0.03,66.97435623519452,116.10104417215442,116.10104417215442,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.03132095337717603,0.03132095337717603
Column,4,3,External,0.25,0.25,0.03,0.03,25.519095991138045,59.43809592793787,59.43809592793787,0,0.00020106192982974675,0.1,20,1,1,0.0,3.0,0.02922976173626136,0.02922976173626136
Beam,3,1,External,0.25,0.45,0.03,0.03,-3.910802239021939,98.12018909503371,50.3464747952957,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.005926983886006638,0.002964086950273754
Beam,3,2,External,0.25,0.45,0.03,0.03,6.128042988812073,80.99128346914928,44.22920533133511,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.00487766732645323,0.0025977803682571085
Beam,3,3,External,0.25,0.45,0.03,0.03,10.567964310269154,45.7216122522599,44.2955076269754,0,0.00020106192982974675,0.1,20,1,1,0.0,6,0.0026806523649353887,0.002599339005647632
