,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
0,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,2.0206815234203743,219.10217285156247,139.24702991889177,1.2420722328982494
1,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,1.9327689164074637,241.6021728515625,140.81958377939674,1.2366937944168657
2,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,1.8723827542944875,264.1021728515625,141.98958363770396,1.232634078677781
3,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,1.8296665745762941,286.6021728515625,142.86992924490718,1.229536633301783
4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,1.8610148919568756,223.9146728515625,131.4258444088723,1.2632687637915654
5,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,1.7768362308273873,228.0396728515625,130.707184688501,1.2807285472701677
6,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.7311664897098111,232.1646728515625,133.99807227339767,1.2719290692976744
7,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,1.7201055933807723,236.2896728515625,137.30167096952238,1.2487855124000435
8,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,1.768206600490036,246.4146728515625,132.46718924634985,1.260458398541668
9,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,1.681453991395659,250.5396728515625,131.8028812556451,1.2789057260793266
10,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,1.6345685607293994,254.6646728515625,135.56696955249356,1.2680281348777718
11,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,1.6235017111527095,258.7896728515625,139.26887871953045,1.24213852831134
12,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,1.7043099801767718,268.9146728515625,133.2520576083216,1.2583943109492766
13,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,1.616023781958035,273.0396728515625,132.63733710803615,1.2774523907717175
14,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,1.568390492211233,277.1646728515625,136.75371423358007,1.2649945198977635
15,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,1.557283617801081,281.2896728515625,140.77056001918578,1.2369727663677141
16,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,1.659139654537018,291.4146728515625,133.85447196517595,1.256820087857681
17,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,1.5699742295543657,295.5396728515625,133.28119329165443,1.2762487049246438
18,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,1.521900822376136,299.6646728515625,137.65605263408696,1.262609100247181
19,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,1.510756454581456,303.7896728515625,141.9172564482369,1.2329550245290943
20,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,1.6694009657456672,233.7271728515625,123.91058989591893,1.2950679609147524
21,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.6179177951772004,237.8521728515625,127.04355828281136,1.2906941389248792
