,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,T,Weight,Mstar,Part Factor
0,0.25,0.39999999999999997,0.3,0.6,0.25,0.39999999999999997,0.3,0.6,0.25,0.39999999999999997,0.25,0.55,0.8046926367334973,262.5899658203125,107.06081994566735,1.2216979890699182
1,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.45,0.8095450281569024,225.7774658203125,99.26234634817095,1.2657669071146154
2,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.7985435016484502,230.4649658203125,99.59050316961475,1.2643065918852487
3,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.45,0.8031163001364032,232.1524658203125,100.94649057592476,1.2529008942186568
4,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7922196832444747,236.8399658203125,101.32153601485285,1.2510087338242752
5,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.5,0.764250065581602,239.8399658203125,100.51041630048857,1.2608329662311695
6,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7561135399194031,244.5274658203125,100.7698469585307,1.2596852291677674
7,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.5,0.7577599042282983,246.2149658203125,102.54280139865402,1.2449551049599377
8,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.7496780487980276,250.9024658203125,102.84872576157977,1.2433897051667782
9,0.25,0.44999999999999996,0.25,0.6,0.25,0.44999999999999996,0.25,0.6,0.25,0.39999999999999997,0.25,0.55,0.7290463859094861,253.9024658203125,101.53469555842267,1.2568600854588754
10,0.25,0.44999999999999996,0.25,0.6,0.25,0.44999999999999996,0.25,0.6,0.25,0.44999999999999996,0.25,0.55,0.7224163364784019,260.2774658203125,103.89874962061629,1.2381391077922048
11,0.25,0.44999999999999996,0.3,0.5,0.25,0.44999999999999996,0.3,0.5,0.25,0.39999999999999997,0.25,0.45,0.7857937297088406,244.5274658203125,99.87263750274478,1.2634542657591765
12,0.25,0.44999999999999996,0.3,0.5,0.25,0.44999999999999996,0.3,0.5,0.25,0.39999999999999997,0.25,0.5,0.7763411973504551,249.2149658203125,100.17387791807657,1.2620961287236327
13,0.25,0.44999999999999996,0.3,0.5,0.25,0.44999999999999996,0.3,0.5,0.25,0.44999999999999996,0.25,0.45,0.7792651550372863,250.9024658203125,101.75369777732382,1.2489032143160086
14,0.25,0.44999999999999996,0.3,0.5,0.25,0.44999999999999996,0.3,0.5,0.25,0.44999999999999996,0.25,0.5,0.7699182863260657,255.5899658203125,102.09491810796926,1.2471680556599707
15,0.25,0.44999999999999996,0.3,0.55,0.25,0.44999999999999996,0.3,0.55,0.25,0.39999999999999997,0.25,0.5,0.7439113002800778,260.4649658203125,101.0629289883583,1.2587967336277366
16,0.25,0.44999999999999996,0.3,0.55,0.25,0.44999999999999996,0.3,0.55,0.25,0.39999999999999997,0.25,0.55,0.7369444876797488,265.1524658203125,101.30088424610373,1.257725288821146
