ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
,,PSD,S,1,4,3,0.02,0.0275,0.05,,,0.4,0.3,0.3,,,1744,2861,4488,,,0.1,0.1,0.1,,,normal,normal,normal,,
,,PSD,NS,2,72,4,0.001,0.003,0.0075,0.0175,,0.5,0.5,0.4,0.35,,62,117,234,234,,0.1,0.1,0.1,0.1,,,,,,
,,PSD,NS,2,59.8,3,0.0015,0.004,0.01,,,0.5,0.5,0.4,,,62,117,234,,,0.1,0.1,0.1,,,,,,,
,,PSD,NS,2,118.7,4,0.0018,0.0046,0.0105,0.0188,,0.52,0.54,0.4,0.38,,34.185,62.025,124,124,,0.1,0.1,0.1,0.1,,,,,,
,,PSD,NS,2,4,1,0.0188,,,,,0.38,,,,,220,,,,,0.1,,,,,,,,,
,,PSD,NS,2,2,1,0.0188,,,,,0.38,,,,,1000,,,,,0.1,,,,,,,,,
,,PSD,NS,2,2,1,0.0188,,,,,0.38,,,,,211.7,,,,,0.1,,,,,,,,,
,,PSD,NS,2,2,1,0.0188,,,,,0.38,,,,,199,,,,,0.1,,,,,,,,,
,,PSD,NS,2,12,1,0.0188,,,,,0.38,,,,,49,,,,,0.1,,,,,,,,,
,,PSD,NS,2,4,1,0.0188,,,,,0.38,,,,,199,,,,,0.1,,,,,,,,,
,,PSD,NS,2,2,1,0.0188,,,,,0.38,,,,,569,,,,,0.1,,,,,,,,,
,,PSD,NS,2,2,1,0.0188,,,,,0.38,,,,,649,,,,,0.1,,,,,,,,,
,,PSD,NS,2,2,1,0.0188,,,,,0.38,,,,,349,,,,,0.1,,,,,,,,,
