,Element,Bay,Storey,Position,b,h,coverNeg,coverPos,lp,length,phi1Neg,phi2Neg,phi3Neg,m1Neg,m2Neg,m3Neg,phi1,phi2,phi3,m1,m2,m3
0,Beam,1,1,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.00471794436064909,0.06648918348987813,0.0705313988750275,370.52751168662337,371.96164014948073,3.068701395410052,0.004717944360649086,0.06648918348987809,0.07053139887502748,370.5275116866236,371.96164014948016,3.0687013954100446
1,Beam,3,1,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.00471794436064909,0.06648918348987813,0.0705313988750275,370.52751168662337,371.96164014948073,3.068701395410052,0.004717944360649086,0.06648918348987809,0.07053139887502748,370.5275116866236,371.96164014948016,3.0687013954100446
2,Beam,2,1,internal,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,3.0,0.005071450575279803,0.06639498619669414,0.07008417547080527,538.6877488897205,539.942623552274,3.2904306585850582,0.005071450575279803,0.06639498619669414,0.07008417547080527,538.6877488897205,539.942623552274,3.2904306585850582
3,Beam,1,2,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.00452070271028423,0.06527955592067179,0.06934209000520647,328.50991409210616,329.95373609811105,2.947323357263514,0.004520702710284227,0.06527955592067178,0.06934209000520647,328.50991409210627,329.9537360981113,2.947323357263514
4,Beam,3,2,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.00452070271028423,0.06527955592067179,0.06934209000520647,328.50991409210616,329.95373609811105,2.947323357263514,0.004520702710284227,0.06527955592067178,0.06934209000520647,328.50991409210627,329.9537360981113,2.947323357263514
5,Beam,2,2,internal,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,3.0,0.005235334636922053,0.06616678586844503,0.06999862049015255,448.95275761365735,450.32209148330423,3.181472891188278,0.005235334636922057,0.06616678586844467,0.06999862049015215,448.9527576136571,450.322091483304,3.1814728911882924
6,Beam,1,3,external,0.4,0.6,0.03,0.03,0.3651999999999999,4.5,0.0055437129354239745,0.0714072877005055,0.07600155861001101,239.64212663463096,241.0439698719773,2.945268702792198,0.00554371293542397,0.07140728770050547,0.07600155861001097,239.64212663463107,241.0439698719773,2.9452687027921765
7,Beam,3,3,external,0.4,0.6,0.03,0.03,0.3651999999999999,4.5,0.0055437129354239745,0.0714072877005055,0.07600155861001101,239.64212663463096,241.0439698719773,2.945268702792198,0.00554371293542397,0.07140728770050547,0.07600155861001097,239.64212663463107,241.0439698719773,2.9452687027921765
8,Beam,2,3,internal,0.4,0.6,0.03,0.03,0.3651999999999999,3.0,0.00512871635123699,0.07149487086271744,0.07580122452074482,309.5281314550931,310.971882096164,3.1417482635185645,0.005128716351236992,0.07149487086271747,0.07580122452074489,309.52813145509293,310.9718820961638,3.1417482635185863
9,Beam,1,4,external,0.4,0.6,0.03,0.03,0.3651999999999999,4.5,0.004584779692341022,0.07062012693996918,0.07580078916147667,134.0419001131657,135.0826829426779,2.391691404263,0.004577583285617304,0.07059674673102223,0.07576591711749929,134.04168388306738,135.0830865014811,2.3803133979540974
