,he1,hi1,b1,h1,he2,hi2,b2,h2,T,Weight,Mstar,Part Factor
0,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5537071089505261,1496.6875,287.0363920445008,1.1952691443207644
1,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5144968832431596,1533.25,284.8733793742981,1.1996143753529922
2,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.47869067126121206,1574.6875,281.14740753214073,1.2067639546494373
3,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.553707108950526,1559.6875,287.0363920445007,1.1952691443207644
4,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5143045186112811,1596.25,284.9085488649779,1.1995448343848198
5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.47810202739303376,1637.6875,281.2566912426363,1.2065605746619625
6,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.553707108950526,1622.6875,287.0363920445008,1.1952691443207644
7,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5141035097439388,1659.25,284.94530043880354,1.19947212527567
8,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.4774782489225595,1700.6875,281.37241059069873,1.206344790318708
9,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5537071089505264,1685.6875,287.0363920445007,1.1952691443207648
10,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.513933600152661,1722.25,284.97637138371164,1.1994106229282635
11,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.4769431553544207,1763.6875,281.47165447827456,1.2061593787339078
12,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5537071089505257,1748.6875,287.0363920445008,1.1952691443207644
13,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.5138162312393666,1785.25,284.9978389267637,1.1993681127268452
14,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.47656886970943924,1826.6875,281.54108134701414,1.2060294811830454
15,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.5473020942351279,1555.75,288.2068872145933,1.192861388476253
16,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.5088780314944095,1592.3125,285.93333489160807,1.1975022573974434
17,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.4725329101513756,1633.75,282.31632964240293,1.2045683679216173
18,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.5386593059465081,1618.75,289.78091203431484,1.1895636103837048
19,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.4986998589622976,1655.3125,287.86413424418976,1.193570444871251
20,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.4620041189037362,1696.75,284.3409800600096,1.2006625134289195
21,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.538659305946508,1681.75,289.7809120343148,1.1895636103837048
22,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.4984993516717185,1718.3125,287.90386245200085,1.1934884272481467
23,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.46137049061217245,1759.75,284.4687055987324,1.2004118454753876
24,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.5386593059465085,1744.75,289.78091203431484,1.1895636103837046
25,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.4983266654571906,1781.3125,287.93812663790106,1.1934176543591664
26,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.460816931613222,1822.75,284.5804983156037,1.200192038294843
27,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.5386593059465071,1807.75,289.78091203431495,1.1895636103837046
28,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.498205553794977,1844.3125,287.96218462795724,1.1933679427639121
29,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.46042387456213696,1885.75,284.66001172201175,1.2000354674745142
30,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.5473020942351277,1614.8125,288.20688721459334,1.1928613884762524
31,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.5086602946793312,1651.375,285.9742411502302,1.197420077332976
32,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.47181399678984026,1692.8125,282.453416781618,1.2043079850689005
33,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.532912818419965,1677.8125,290.91613639062643,1.1871438616979877
