ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
,,PFA,NS,1,8,1,0.8,,,,,0.4,,,,,1034.7,,,,,0.1,,,,,,,,,
,,PFA,NS,1,247.5,3,0.55,1,1.5,,,0.4,0.4,0.4,,,48.559,69.37,99.1,,,0.1,0.1,0.1,,,,,,,
,,PFA,NS,1,19,1,1,,,,,0.4,,,,,582.95,,,,,0.1,,,,,,,,,
,,PFA,NS,1,0.605,2,0.55,1.1,,,,0.4,0.4,,,,307.38,2302.32,,,,0.7637,0.4054,,,,lognormal,lognormal,,,
,,PFA,NS,1,0.638,2,0.55,1.1,,,,0.4,0.4,,,,307.38,2302.32,,,,0.7637,0.4054,,,,lognormal,lognormal,,,
,,PFA,NS,1,0.605,2,1.2,2.4,,,,0.4,0.4,,,,524.56,3737.49,,,,0.5758,0.3401,,,,lognormal,lognormal,,,
,,PFA,NS,1,0,1,0.8,,,,,0.4,,,,,1220,,,,,0.1,,,,,,,,,
,,PFA,NS,1,0,1,0.8,,,,,0.4,,,,,610,,,,,0.1,,,,,,,,,
,,PFA,NS,1,0.5184,2,1.1,2.4,,,,0.4,0.5,,,,252.4445,1911.3655,,,,0.6488,0.4054,,,,lognormal,lognormal,,,
,,PFA,NS,1,12,2,0.75,0.95,,,,0.4,0.4,,,,43.2762,43.2762,,,,0.3665,0.3665,,,,lognormal,lognormal,,,
,,PFA,NS,1,0,1,3.05,,,,,0.4,,,,,7297.941,,,,,0.1572,,,,,normal,,,,
,,PFA,NS,1,0,1,0.5,,,,,0.3,,,,,10753.48,,,,,0.4389,,,,,normal,,,,
,,PFA,NS,1,0,1,1.11,,,,,0.6,,,,,10032.21,,,,,0.0962,,,,,lognormal,,,,
,,PFA,NS,1,0,1,1.07,,,,,0.4,,,,,9560.106,,,,,0.1267,,,,,normal,,,,
,,PFA,NS,1,0,1,3.05,,,,,0.4,,,,,7297.941,,,,,0.1572,,,,,normal,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,35,,,,,0.1,,,,,,,,,
,,PFA,NS,1,0,1,1.1,,,,,0.4,,,,,50,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,80,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,140,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,70,,,,,0.1,,,,,,,,,
,,PFA,NS,1,4,1,1.1,,,,,0.4,,,,,126,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,199,,,,,0.1,,,,,,,,,
,,PFA,NS,1,1,1,1.1,,,,,0.4,,,,,179,,,,,0.1,,,,,,,,,
,,PFA,NS,1,3,1,1.1,,,,,0.4,,,,,399,,,,,0.1,,,,,,,,,
,,PFA,NS,1,0,1,1.1,,,,,0.4,,,,,649,,,,,0.1,,,,,,,,,
,,PFA,NS,1,6,1,1.1,,,,,0.4,,,,,20,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,159,,,,,0.1,,,,,,,,,
,,PFA,NS,1,6,1,1.1,,,,,0.4,,,,,80,,,,,0.1,,,,,,,,,
,,PFA,NS,1,3,1,1.1,,,,,0.4,,,,,90,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,99,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,169,,,,,0.1,,,,,,,,,
,,PFA,NS,1,4,1,1.1,,,,,0.4,,,,,349,,,,,0.1,,,,,,,,,
,,PFA,NS,1,2,1,1.1,,,,,0.4,,,,,962,,,,,0.1,,,,,,,,,
